VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
35,T10_500SD,LN1,0.0160315499076,9.03605763578,10.1060732024,0.593807277486,2.00450381419,0.0160315499076,0.593807277486,2.00450381419,28.0069586372,0.448994955153,0.0404163976689,0.0839952274163,5.0
35,TSLOPE,LN1,0.115030980632,6.55822098378,7.50502803674,0.593807277486,2.00450381419,0.115030980632,0.593807277486,2.00450381419,3.17069636074,0.364728311661,0.31589320667,0.656503876244,3.0
36,PCLDEND4,LN1,1.36217702421,0.06,0.163265306122,-0.86948375457,0.743928319383,1.36217702421,-0.86948375457,0.743928319383,0.315869027653,0.43026953213,0.33375952376,0.758475995246,2.0
36,RDDEND1,LN1,-1.60331897973,0.74,0.489795918367,-0.86948375457,0.743928319383,-1.60331897973,-0.86948375457,0.743928319383,0.488794241321,-0.783693084291,-0.522582164347,-1.18757967634,8.0
36,SAGESAND0,LN1,301.423912313,0.0,0.000749734693878,-0.86948375457,0.743928319383,301.423912313,-0.86948375457,0.743928319383,0.00173941037205,0.52429987946,0.440039666189,1.0,1.0
36,SAGESTRD10,LN1,-1547.89239427,5.572e-05,0.0,-0.86948375457,0.743928319383,-1547.89239427,-0.86948375457,0.743928319383,0.000280003535331,-0.433415342709,-0.203157970985,-0.461681040585,6.0
36,SDENSAND10,LN1,-1.24636499682,0.9,0.734693877551,-0.86948375457,0.743928319383,-1.24636499682,-0.86948375457,0.743928319383,0.522232967867,-0.650892891337,-0.32315503565,-0.734377058434,7.0
36,SDENSTRD10,LN1,1.7052056984,0.82,0.938775510204,-0.86948375457,0.743928319383,1.7052056984,-0.86948375457,0.743928319383,0.558290526239,0.952000186707,0.217196548783,0.493584023149,3.0
36,T5_25MN,LN1,-3.63096428603,0.0347096519587,-0.00684969634391,-0.86948375457,0.743928319383,-3.63096428603,-0.86948375457,0.743928319383,0.273739167128,-0.993937139529,-0.154995132931,-0.352229912075,5.0
36,T5_50SD,LN1,0.279582557053,0.611553045664,1.32649040045,-0.86948375457,0.743928319383,0.279582557053,-0.86948375457,0.743928319383,3.92421585864,1.09714230419,0.185995044915,0.422677906577,4.0
37,PCLDEND0,LN1,1.86980397572,0.04,0.183673469388,0.482462172789,1.88384938577,1.86980397572,0.482462172789,1.88384938577,0.315869027653,0.590613163711,0.482225675302,0.994733948768,2.0
